Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Total merchandise exports - monthly,Italy,World,June,Million US dollar,2020,40353.56445
Total merchandise exports - monthly,Italy,World,July,Million US dollar,2018,50518.34428
Total merchandise exports - monthly,Italy,World,July,Million US dollar,2019,51773.42578
Total merchandise exports - monthly,Italy,World,July,Million US dollar,2020,48345.77565
Total merchandise exports - monthly,Italy,World,August,Million US dollar,2020,32782.95792
Total merchandise exports - monthly,Italy,World,August,Million US dollar,2019,33164.82584
Total merchandise exports - monthly,Italy,World,August,Million US dollar,2018,35466.51704
Total merchandise exports - monthly,Italy,World,September,Million US dollar,2018,43229.47338
Total merchandise exports - monthly,Italy,World,September,Million US dollar,2019,43667.28324
Total merchandise exports - monthly,Italy,World,September,Million US dollar,2020,47327.07408
Total merchandise exports - monthly,Italy,World,October,Million US dollar,2020,49930.71
Total merchandise exports - monthly,Italy,World,October,Million US dollar,2018,50530.51872
Total merchandise exports - monthly,Italy,World,October,Million US dollar,2019,51186.88512
Total merchandise exports - monthly,Italy,World,November,Million US dollar,2019,44728.36995
Total merchandise exports - monthly,Italy,World,November,Million US dollar,2018,47157.81822
Total merchandise exports - monthly,Italy,World,November,Million US dollar,2020,48426.53526
Total merchandise exports - monthly,Italy,World,December,Million US dollar,2020,47259.1525
Total merchandise exports - monthly,Italy,World,December,Million US dollar,2018,40858.20056
Total merchandise exports - monthly,Italy,World,December,Million US dollar,2019,41780.65706
Total merchandise exports - monthly,Spain,World,January,Million US dollar,2018,28682.444
Total merchandise exports - monthly,Spain,World,January,Million US dollar,2019,26903.63056
Total merchandise exports - monthly,Spain,World,January,Million US dollar,2020,26516.679
Total merchandise exports - monthly,Spain,World,February,Million US dollar,2020,26825.75475
Total merchandise exports - monthly,Spain,World,February,Million US dollar,2019,26945.45784
Total merchandise exports - monthly,Spain,World,February,Million US dollar,2018,28432.99872
Total merchandise exports - monthly,Spain,World,March,Million US dollar,2018,32516.70912
Total merchandise exports - monthly,Spain,World,March,Million US dollar,2019,30783.03136
Total merchandise exports - monthly,Spain,World,March,Million US dollar,2020,25871.59991
Total merchandise exports - monthly,Spain,World,April,Million US dollar,2020,16449.30418
Total merchandise exports - monthly,Spain,World,April,Million US dollar,2019,28211.42568
Total merchandise exports - monthly,Spain,World,April,Million US dollar,2018,30229.89552
Total merchandise exports - monthly,Spain,World,May,Million US dollar,2018,30561.89632
Total merchandise exports - monthly,Spain,World,May,Million US dollar,2019,30195.026
Total merchandise exports - monthly,Spain,World,May,Million US dollar,2020,19300.57374
Total merchandise exports - monthly,Spain,World,June,Million US dollar,2019,28909.28949
Total merchandise exports - monthly,Spain,World,June,Million US dollar,2020,26273.55945
Total merchandise exports - monthly,Spain,World,June,Million US dollar,2018,30655.21712
Total merchandise exports - monthly,Spain,World,July,Million US dollar,2018,28916.4227
Total merchandise exports - monthly,Spain,World,July,Million US dollar,2020,27290.65188
Total merchandise exports - monthly,Spain,World,July,Million US dollar,2019,29406.8652
Total merchandise exports - monthly,Spain,World,August,Million US dollar,2019,21346.12108
Total merchandise exports - monthly,Spain,World,August,Million US dollar,2020,20871.33396
Total merchandise exports - monthly,Spain,World,August,Million US dollar,2018,23617.12755
