Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2020,228735.1128
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2019,211000
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2018,225771.1764
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2018,213220.573
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2019,200240.2113
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2020,200400.4759
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2020,219996.5162
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2019,212411.8768
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2018,210652.1599
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2019,230150.3337
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2018,200286.5453
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2020,232345.1656
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2018,214161.1766
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2019,211605.9275
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2019,158914.1637
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2018,174496.5772
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2018,218375.1495
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2019,197931.0915
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2020,189822.0756
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2019,212903.9975
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2018,207134.3531
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2020,175810.7104
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2020,164073.1903
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2018,225307.9309
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2019,202529.7291
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2019,189846.4933
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2018,203784.2883
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2020,187448.6447
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2020,196925.6951
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2019,210100.038
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2018,218815.6962
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2018,224053.6276
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2019,213813.0865
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2020,198922.866
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2019,210600
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2020,227799.9694
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2018,225447.8533
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2018,213016.7294
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2020,200262.5698
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2019,200040.2113
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2020,219842.6168
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2018,210512.9866
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2019,212250.957
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2018,199853.2487
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2020,232091.9655
Commercial services imports of selected economies – monthly,China,World,December,Million US dollar,2019,230038.5193
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2018,42146.632
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2019,44101.4802
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2020,38859.00976
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2020,27994.80077
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2019,36385.00825
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2018,43201.59824
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2018,46585.38649
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2019,42311.38846
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2020,34595.73483
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2019,44208.27005
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2020,28339.40418
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2018,43362.29329
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2018,46921.0736
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2019,41868.90027
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2020,28223.40399
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2020,28919.85293
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2018,43005.17382
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2019,38748.27272
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2019,44848.41797
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2020,31339.12259
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2018,44274.45522
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2018,47418.4609
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2020,31535.27475
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2019,45550
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2019,41600
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2020,34887.15453
Commercial services imports of selected economies – monthly,China,World,September,Million US dollar,2018,43137.96371
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2018,39401.41213
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2020,27657.0758
Commercial services imports of selected economies – monthly,China,World,October,Million US dollar,2019,36728.28768
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2019,38219.3775
Commercial services imports of selected economies – monthly,China,World,November,Million US dollar,2020,30501.49
