Date,Open,High,Low,Close*,Adj Close**,Volume
8/17/20,"27,970.05","27,999.81","27,816.40","27,844.91","27,844.91","2,868,600"
8/14/20,"27,828.93","27,977.81","27,759.39","27,931.02","27,931.02","2,755,400"
8/13/20,"27,922.51","27,986.10","27,789.78","27,896.72","27,896.72","3,601,600"
8/12/20,"27,860.24","28,043.89","27,843.32","27,976.84","27,976.84","3,402,100"
8/11/20,"27,961.64","28,154.88","27,624.51","27,686.91","27,686.91","4,282,200"
8/10/20,"27,488.21","27,803.86","27,488.21","27,791.44","27,791.44","3,603,400"
8/7/20,"27,321.68","27,456.24","27,223.55","27,433.48","27,433.48","3,211,700"
8/6/20,"27,170.82","27,394.10","27,145.25","27,386.98","27,386.98","3,224,600"
8/5/20,"26,924.78","27,221.67","26,924.78","27,201.52","27,201.52","3,660,000"
8/4/20,"26,664.61","26,832.72","26,597.82","26,828.47","26,828.47","3,463,500"
8/3/20,"26,542.32","26,707.26","26,534.38","26,664.40","26,664.40","4,393,800"
7/31/20,"26,409.33","26,440.02","26,013.59","26,428.32","26,428.32","4,880,500"
7/30/20,"26,367.42","26,374.93","25,992.28","26,313.65","26,313.65","3,515,400"
7/29/20,"26,388.44","26,602.45","26,375.39","26,539.57","26,539.57","3,475,800"
7/28/20,"26,529.45","26,556.84","26,361.71","26,379.28","26,379.28","3,610,900"
7/27/20,"26,447.67","26,625.46","26,426.92","26,584.77","26,584.77","4,009,300"
7/24/20,"26,533.41","26,625.70","26,402.86","26,469.89","26,469.89","4,941,700"
7/23/20,"26,955.97","26,973.85","26,560.04","26,652.33","26,652.33","4,198,000"
7/22/20,"26,824.56","27,035.24","26,794.19","27,005.84","27,005.84","4,043,400"
7/21/20,"26,833.14","27,025.38","26,766.22","26,840.40","26,840.40","3,649,300"
7/20/20,"26,660.29","26,765.02","26,504.20","26,680.87","26,680.87","3,093,900"
7/17/20,"26,774.62","26,808.43","26,619.88","26,671.95","26,671.95","2,964,600"
7/16/20,"26,746.57","26,879.16","26,590.01","26,734.71","26,734.71","2,873,300"
7/15/20,"27,009.81","27,071.33","26,692.48","26,870.10","26,870.10","3,849,000"
7/14/20,"26,044.17","26,690.52","25,994.98","26,642.59","26,642.59","4,016,400"
7/13/20,"26,225.07","26,639.09","26,044.23","26,085.80","26,085.80","4,253,200"
7/10/20,"25,690.35","26,101.32","25,637.50","26,075.30","26,075.30","3,381,700"
7/9/20,"26,094.92","26,103.28","25,523.51","25,706.09","25,706.09","3,876,100"
7/8/20,"25,950.06","26,109.49","25,816.25","26,067.28","26,067.28","3,373,000"
7/7/20,"26,172.01","26,174.93","25,866.58","25,890.18","25,890.18","3,468,200"
7/6/20,"25,996.08","26,297.53","25,996.08","26,287.03","26,287.03","3,406,900"
7/2/20,"25,936.45","26,204.41","25,778.12","25,827.36","25,827.36","3,491,300"
7/1/20,"25,879.38","26,019.31","25,713.61","25,734.97","25,734.97","3,731,800"
6/30/20,"25,512.43","25,905.38","25,475.14","25,812.88","25,812.88","4,107,800"
6/29/20,"25,152.45","25,601.15","25,096.16","25,595.80","25,595.80","3,780,700"
6/26/20,"25,641.69","25,641.69","24,971.03","25,015.55","25,015.55","6,408,600"
6/25/20,"25,365.22","25,769.61","25,209.79","25,745.60","25,745.60","3,845,600"
6/24/20,"25,992.96","25,992.96","25,296.73","25,445.94","25,445.94","4,501,200"
6/23/20,"26,159.39","26,314.97","26,105.97","26,156.10","26,156.10","3,899,800"
6/22/20,"25,865.08","26,059.81","25,667.68","26,024.96","26,024.96","3,517,800"
6/19/20,"26,213.10","26,451.44","25,759.66","25,871.46","25,871.46","6,693,900"
6/18/20,"26,016.45","26,154.20","25,848.53","26,080.10","26,080.10","3,283,900"
6/17/20,"26,330.52","26,400.07","26,068.41","26,119.61","26,119.61","3,288,300"
6/16/20,"26,326.68","26,611.03","25,811.70","26,289.98","26,289.98","4,895,000"
6/15/20,"25,270.39","25,891.58","24,843.18","25,763.16","25,763.16","4,612,300"
6/12/20,"25,659.42","25,965.55","25,078.41","25,605.54","25,605.54","5,144,400"
6/11/20,"26,282.51","26,294.08","25,082.72","25,128.17","25,128.17","6,477,800"
6/10/20,"27,251.89","27,355.22","26,938.05","26,989.99","26,989.99","4,489,300"
6/9/20,"27,447.37","27,447.37","27,151.06","27,272.30","27,272.30","3,814,300"
6/8/20,"27,232.93","27,580.21","27,232.48","27,572.44","27,572.44","4,302,000"
6/5/20,"26,836.80","27,338.30","26,836.80","27,110.98","27,110.98","5,423,100"
6/4/20,"26,226.49","26,384.10","26,082.31","26,281.82","26,281.82","3,721,900"
6/3/20,"25,906.88","26,337.75","25,906.88","26,269.89","26,269.89","3,987,900"
6/2/20,"25,582.52","25,743.13","25,523.74","25,742.65","25,742.65","3,526,100"
6/1/20,"25,342.99","25,508.83","25,220.66","25,475.02","25,475.02","3,383,100"
5/29/20,"25,324.15","25,482.80","25,031.67","25,383.11","25,383.11","5,276,200"
5/28/20,"25,697.36","25,758.79","25,358.73","25,400.64","25,400.64","3,778,000"
5/27/20,"25,298.63","25,551.56","25,009.87","25,548.27","25,548.27","4,112,300"
5/26/20,"24,781.84","25,176.42","24,781.84","24,995.11","24,995.11","4,243,800"
5/22/20,"24,461.98","24,481.64","24,294.07","24,465.16","24,465.16","2,556,600"
5/21/20,"24,564.27","24,718.46","24,370.88","24,474.12","24,474.12","3,467,700"
5/20/20,"24,455.94","24,649.48","24,455.94","24,575.90","24,575.90","3,665,100"
5/19/20,"24,577.48","24,599.50","24,202.96","24,206.86","24,206.86","3,741,000"
5/18/20,"24,059.98","24,708.54","24,059.98","24,597.37","24,597.37","4,841,900"
5/15/20,"23,454.83","23,730.08","23,354.15","23,685.42","23,685.42","4,915,100"
5/14/20,"23,049.06","23,630.86","22,789.62","23,625.34","23,625.34","4,727,000"
5/13/20,"23,702.16","23,708.90","23,067.64","23,247.97","23,247.97","4,699,500"
5/12/20,"24,292.84","24,382.09","23,761.58","23,764.78","23,764.78","3,594,800"
5/11/20,"24,256.45","24,366.21","24,070.22","24,221.99","24,221.99","3,524,000"
5/8/20,"24,107.82","24,349.90","24,107.05","24,331.32","24,331.32","3,357,600"
5/7/20,"23,837.21","24,094.62","23,834.39","23,875.89","23,875.89","3,698,900"
5/6/20,"23,978.88","24,054.59","23,661.14","23,664.64","23,664.64","3,774,500"
5/5/20,"23,958.88","24,169.72","23,868.91","23,883.09","23,883.09","3,697,100"
5/4/20,"23,581.55","23,769.56","23,361.16","23,749.76","23,749.76","3,553,600"
5/1/20,"24,120.78","24,120.78","23,645.30","23,723.69","23,723.69","4,181,600"
4/30/20,"24,585.57","24,585.57","24,186.90","24,345.72","24,345.72","4,878,400"
4/29/20,"24,490.37","24,764.77","24,453.99","24,633.86","24,633.86","4,552,900"
4/28/20,"24,357.17","24,512.24","24,031.20","24,101.55","24,101.55","4,002,500"
4/27/20,"23,866.15","24,207.65","23,840.61","24,133.78","24,133.78","3,893,900"
4/24/20,"23,628.24","23,826.00","23,417.68","23,775.27","23,775.27","3,760,200"
4/23/20,"23,543.09","23,885.36","23,483.35","23,515.26","23,515.26","3,892,900"
4/22/20,"23,437.34","23,613.10","23,339.60","23,475.82","23,475.82","3,528,800"
4/21/20,"23,365.25","23,365.25","22,941.88","23,018.88","23,018.88","4,851,400"
4/20/20,"24,095.10","24,108.69","23,627.19","23,650.44","23,650.44","4,234,100"
4/17/20,"23,817.15","24,264.21","23,817.15","24,242.49","24,242.49","5,259,500"
4/16/20,"23,543.66","23,598.08","23,211.38","23,537.68","23,537.68","4,710,500"
4/15/20,"23,600.72","23,649.72","23,233.32","23,504.35","23,504.35","4,376,300"
4/14/20,"23,690.57","24,040.58","23,683.44","23,949.76","23,949.76","4,859,100"
4/13/20,"23,698.93","23,698.93","23,095.35","23,390.77","23,390.77","3,943,200"
4/9/20,"23,690.66","24,008.99","23,504.09","23,719.37","23,719.37","5,664,000"
4/8/20,"22,893.47","23,513.40","22,682.99","23,433.57","23,433.57","4,727,400"
4/7/20,"23,537.44","23,617.24","22,634.45","22,653.86","22,653.86","5,946,600"
4/6/20,"21,693.63","22,783.45","21,693.63","22,679.99","22,679.99","6,107,600"
4/3/20,"21,285.93","21,447.81","20,863.09","21,052.53","21,052.53","4,500,100"
4/2/20,"20,819.46","21,477.77","20,735.02","21,413.44","21,413.44","5,295,400"
4/1/20,"21,227.38","21,487.24","20,784.43","20,943.51","20,943.51","5,066,800"
3/31/20,"22,208.42","22,480.37","21,852.08","21,917.16","21,917.16","5,712,100"
3/30/20,"21,678.22","22,378.09","21,522.08","22,327.48","22,327.48","5,455,400"
3/27/20,"21,898.47","22,327.57","21,469.27","21,636.78","21,636.78","5,888,300"
