Date,Open,High,Low,Close,Adj Close,Volume
9/18/20,1950.5,1952.09998,1949,1952.09998,1952.09998,38
9/21/20,1946.19995,1946.19995,1883.40002,1901.19995,1901.19995,52
9/22/20,1913.09998,1913.09998,1898.59998,1898.59998,1898.59998,331
9/23/20,1875.5,1875.5,1859.90002,1859.90002,1859.90002,5
9/24/20,1851.5,1868.30005,1851.5,1868.30005,1868.30005,365
9/25/20,1856.30005,1857.69995,1856.30005,1857.69995,1857.69995,4
9/28/20,1872.80005,1872.80005,1872.80005,1872.80005,1872.80005,10455
9/29/20,1876.5,1895.40002,1872.40002,1894.30005,1894.30005,3283
9/30/20,1893,1899.69995,1879.80005,1887.5,1887.5,600
10/1/20,1884.09998,1909.59998,1882.5,1908.40002,1908.40002,730
10/2/20,1893.90002,1913,1893.90002,1900.19995,1900.19995,530
10/5/20,1898.90002,1915.59998,1884.69995,1912.5,1912.5,1360
10/6/20,1906.59998,1918,1874.40002,1901.09998,1901.09998,968
10/7/20,1874.09998,1889.80005,1873.09998,1883.59998,1883.59998,50
10/8/20,1893,1893,1882.69995,1888.59998,1888.59998,348
10/9/20,1909.30005,1929.09998,1905.09998,1919.5,1919.5,580
10/12/20,1924,1926.5,1921.59998,1922.5,1922.5,96
10/13/20,1921.90002,1922.19995,1887,1888.5,1888.5,191
10/14/20,1889.69995,1910.80005,1882.5,1901.30005,1901.30005,33
10/15/20,1897.30005,1906.30005,1889.59998,1903.19995,1903.19995,254
10/16/20,1898.5,1900.80005,1898.5,1900.80005,1900.80005,53
10/19/20,1907.30005,1907.80005,1899.5,1906.40002,1906.40002,43
10/20/20,1901.30005,1910.40002,1896.09998,1910.40002,1910.40002,329
10/21/20,1913.59998,1927.30005,1913.59998,1924.59998,1924.59998,1202
10/22/20,1924.30005,1924.30005,1898.19995,1901.09998,1901.09998,899
10/23/20,1899.90002,1913.30005,1896.19995,1902,1902,287
10/26/20,1895.5,1907,1893.5,1902.69995,1902.69995,242
10/27/20,1904.59998,1908.80005,1904.40002,1908.80005,1908.80005,176
10/28/20,1870.90002,1876.19995,1870.90002,1876.19995,1876.19995,277
10/29/20,1876.09998,1879.80005,1858.80005,1865.59998,1865.59998,240
10/30/20,1862.80005,1886.59998,1862.80005,1877.40002,1877.40002,725
11/2/20,1872.90002,1894.69995,1872.90002,1890.40002,1890.40002,190
11/3/20,1891.5,1908.5,1891.5,1908.5,1908.5,712
11/4/20,1893.80005,1907,1885.30005,1894.59998,1894.59998,782
11/5/20,1901.69995,1948,1901.69995,1945.30005,1945.30005,135
11/6/20,1940.80005,1958.80005,1940.80005,1950.30005,1950.30005,304
11/9/20,1955.59998,1963.19995,1847.09998,1853.19995,1853.19995,745
11/10/20,1879.30005,1885.30005,1871.19995,1875.40002,1875.40002,276
11/11/20,1878.80005,1878.80005,1855.5,1860.69995,1860.69995,222
11/12/20,1869,1878.5,1866.59998,1872.59998,1872.59998,220
11/13/20,1877,1890.09998,1876.80005,1885.69995,1885.69995,240
11/16/20,1874.59998,1887.30005,1871,1887.30005,1887.30005,6
11/17/20,1888.40002,1888.40002,1884.5,1884.5,1884.5,59
11/18/20,1873.5,1873.5,1873.5,1873.5,1873.5,152
11/19/20,1865.80005,1865.80005,1856,1861.09998,1861.09998,59
11/20/20,1871.19995,1872.59998,1871.19995,1872.59998,1872.59998,1900
11/23/20,1834.80005,1837.80005,1829.19995,1837.80005,1837.80005,843
11/24/20,1829.30005,1829.30005,1799.30005,1804.80005,1804.80005,1041
11/25/20,1801.40002,1805.69995,1801.40002,1805.69995,1805.69995,205754
11/27/20,null,null,null,null,null,null
11/30/20,1785,1787.19995,1762.30005,1775.69995,1775.69995,3145
12/1/20,1775,1815.90002,1774.90002,1814.09998,1814.09998,1859
12/2/20,1811.30005,1830,1807.80005,1825.69995,1825.69995,771
12/3/20,1829.19995,1842,1825.30005,1836.80005,1836.80005,1765
12/4/20,1840.69995,1847.59998,1828.19995,1835.90002,1835.90002,1213
12/7/20,1836.5,1866.90002,1820.80005,1861.80005,1861.80005,1427
12/8/20,1863,1875.80005,1861.80005,1870.80005,1870.80005,121
12/9/20,1867.09998,1867.09998,1827,1834.59998,1834.59998,215
12/10/20,1833.19995,1849.09998,1828,1833.59998,1833.59998,177
12/11/20,1838.5,1846,1829.09998,1839.80005,1839.80005,109
12/14/20,1835.5,1835.69995,1822.69995,1828.69995,1828.69995,258
12/15/20,1833.5,1853.59998,1833.19995,1852.30005,1852.30005,961
12/16/20,1856.5,1864.69995,1850.5,1856.09998,1856.09998,1090
12/17/20,1874.19995,1896.19995,1874.19995,1887.19995,1887.19995,414
12/18/20,1882.40002,1889.5,1882.30005,1885.69995,1885.69995,276
12/21/20,1884.80005,1908,1869.09998,1879.19995,1879.19995,136
12/22/20,1882.19995,1882.19995,1861,1866.59998,1866.59998,233
12/23/20,1867,1878.80005,1864.5,1874.69995,1874.69995,82
12/24/20,null,null,null,null,null,null
12/28/20,1895.5,1895.80005,1873.69995,1877.19995,1877.19995,75
12/29/20,1881.30005,1881.30005,1879.69995,1879.69995,1879.69995,343
12/30/20,1879.90002,1895.80005,1877.30005,1891,1891,444
12/31/20,1897,1901.30005,1892.69995,1893.09998,1893.09998,127
1/4/21,1912.19995,1945.09998,1912.19995,1944.69995,1944.69995,154
1/5/21,1941.69995,1952.69995,1941.30005,1952.69995,1952.69995,113
1/6/21,1952,1959.90002,1901.5,1906.90002,1906.90002,331
1/7/21,1922.59998,1926.69995,1912,1912.30005,1912.30005,122
1/8/21,1908,1908,1834.09998,1834.09998,1834.09998,60
1/11/21,1826.5,1849.59998,1826.5,1849.59998,1849.59998,20
1/12/21,1849,1859.69995,1839.40002,1842.90002,1842.90002,176
1/13/21,1858,1858.59998,1853.59998,1853.59998,1853.59998,189
1/14/21,1836.69995,1850.69995,1836.69995,1850.30005,1850.30005,149
1/15/21,1829.40002,1829.40002,1825,1829.30005,1829.30005,31
1/19/21,1802,1842.90002,1802,1839.5,1839.5,13
1/20/21,1847.80005,1866.59998,1844.40002,1865.90002,1865.90002,16
1/21/21,1865.30005,1868,1865.30005,1865.30005,1865.30005,6
1/22/21,1854.90002,1855.69995,1852.69995,1855.69995,1855.69995,8
1/25/21,1864.69995,1864.69995,1851.80005,1854.90002,1854.90002,26
1/26/21,1855.80005,1855.80005,1850.69995,1850.69995,1850.69995,59
1/27/21,1844.90002,1844.90002,1844.90002,1844.90002,1844.90002,195540
1/28/21,1843.40002,1862.90002,1831.5,1837.90002,1837.90002,27283
1/29/21,1842,1876,1838.69995,1847.30005,1847.30005,1634
2/1/21,1866.59998,1871.90002,1850,1860.80005,1860.80005,1494
2/2/21,1859.59998,1861.30005,1827.59998,1830.5,1830.5,1293
2/3/21,1834.80005,1842.40002,1829.80005,1832.19995,1832.19995,1195
2/4/21,1832.19995,1832.19995,1782.80005,1788.90002,1788.90002,2375
